Title,Price,Rating,Image,Type
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED,14"",Windows 11, Office24,M365 Basic (1Yr)*, Matte Gray,1.4Kg, M3407KA-SF049WS,50 Tops,Metallic Design,Next-Gen AI Laptop,Copilot+","87,990",,https://m.media-amazon.com/images/I/71G3hXXBEWL._AC_UY218_.jpg,Ad
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Light-Weight, Next-Gen AI Laptop","78,990",,https://m.media-amazon.com/images/I/71fHNU8KnQL._AC_UY218_.jpg,Ad
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey","20,990",,https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,Organic
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg/MS Office","39,660",,https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,Organic
"Lenovo Yoga Slim 7 Intel Core Ultra 5 125H (16GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Copilot+ PC/Windows 11/MSO 365 Basic+Office 2024/1Yr ADP Free/Teal/1.39Kg), 83CV00G2IN","86,990",,https://m.media-amazon.com/images/I/81PaO9Q1WFL._AC_UY218_.jpg,Organic
Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",,https://m.media-amazon.com/images/I/71IWq5rtazL._AC_UY218_.jpg,Organic
"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","28,990",,https://m.media-amazon.com/images/I/61d+uhYgdNL._AC_UY218_.jpg,Organic
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop","54,990",,https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","47,990",,https://m.media-amazon.com/images/I/71VXUiEYJ1L._AC_UY218_.jpg,Organic
"Model Latitude 5420 Laptop | Core i5 11th Gen | 8GB DDR4 RAM | 256GB SSD | 14"" Full HD Display | Win 10 | A+ (Pre-Owned & Tested)","26,800",,https://m.media-amazon.com/images/I/51vIhMJreOL._AC_UY218_.jpg,Organic
"Dell 15 Laptop, 14th Gen Intel Core 3 100U Processor, 16GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","59,990",,https://m.media-amazon.com/images/I/71ZBa5+qu4L._AC_UY218_.jpg,Ad
